metric,value
mu,0.000786669374356676
sigma,0.018933010526166437
var_historical,0.030189758313498773
var_normal,0.030355361658718587
var_t,0.05519633014662371
es_historical,0.04386328814293291
es_normal,-0.039840032671353116
t_df,4.102070763676791
bootstrap_mean_ci,"(np.float64(-0.00040884267736498683), np.float64(0.00198332190055279))"
bootstrap_sigma_ci,"(np.float64(0.01747005683081739), np.float64(0.020362540850770414))"
backtest_exceptions,"(52, np.float64(0.050731707317073174))"
